adm3_psgc,adm2_psgc,adm1_psgc,adm3_en,geo_level
1400101000,1400100000,1400000000,Bangued,Mun
1400102000,1400100000,1400000000,Boliney,Mun
1400103000,1400100000,1400000000,Bucay,Mun
1400104000,1400100000,1400000000,Bucloc,Mun
1400105000,1400100000,1400000000,Daguioman,Mun
1400106000,1400100000,1400000000,Danglas,Mun
1400107000,1400100000,1400000000,Dolores,Mun
1400108000,1400100000,1400000000,La Paz,Mun
1400109000,1400100000,1400000000,Lacub,Mun
1400110000,1400100000,1400000000,Lagangilang,Mun
1400111000,1400100000,1400000000,Lagayan,Mun
1400112000,1400100000,1400000000,Langiden,Mun
1400113000,1400100000,1400000000,Licuan-Baay,Mun
1400114000,1400100000,1400000000,Luba,Mun
1400115000,1400100000,1400000000,Malibcong,Mun
1400116000,1400100000,1400000000,Manabo,Mun
1400117000,1400100000,1400000000,Pe?rrubia,Mun
1400118000,1400100000,1400000000,Pidigan,Mun
1400119000,1400100000,1400000000,Pilar,Mun
1400120000,1400100000,1400000000,Sallapadan,Mun
1400121000,1400100000,1400000000,San Isidro,Mun
1400122000,1400100000,1400000000,San Juan,Mun
1400123000,1400100000,1400000000,San Quintin,Mun
1400124000,1400100000,1400000000,Tayum,Mun
1400126000,1400100000,1400000000,Tubo,Mun
1400127000,1400100000,1400000000,Villaviciosa,Mun
1600201000,1600200000,1600000000,Buenavista,Mun
1600204000,1600200000,1600000000,Carmen,Mun
1630400000,1630400000,1600000000,City of Butuan,City
1600205000,1600200000,1600000000,Jabonga,Mun
1600206000,1600200000,1600000000,Kitcharao,Mun
1600207000,1600200000,1600000000,Las Nieves,Mun
1600208000,1600200000,1600000000,Magallanes,Mun
1600209000,1600200000,1600000000,Nasipit,Mun
1600212000,1600200000,1600000000,Remedios T. Romualdez,Mun
1600210000,1600200000,1600000000,Santiago,Mun
1600211000,1600200000,1600000000,Tubay,Mun
1600302000,1600300000,1600000000,Bunawan,Mun
1600303000,1600300000,1600000000,Esperanza,Mun
1600304000,1600300000,1600000000,La Paz,Mun
1600306000,1600300000,1600000000,Prosperidad,Mun
1600307000,1600300000,1600000000,Rosario,Mun
1600308000,1600300000,1600000000,San Francisco,Mun
1600309000,1600300000,1600000000,San Luis,Mun
1600310000,1600300000,1600000000,Santa Josefa,Mun
1600314000,1600300000,1600000000,Sibagat,Mun
1600311000,1600300000,1600000000,Talacogon,Mun
1600312000,1600300000,1600000000,Trento,Mun
1600313000,1600300000,1600000000,Veruela,Mun
600401000,600400000,600000000,Altavas,Mun
600402000,600400000,600000000,Balete,Mun
600404000,600400000,600000000,Batan,Mun
600405000,600400000,600000000,Buruanga,Mun
600406000,600400000,600000000,Ibajay,Mun
600407000,600400000,600000000,Kalibo,Mun
600409000,600400000,600000000,Libacao,Mun
600410000,600400000,600000000,Madalag,Mun
600411000,600400000,600000000,Makato,Mun
600412000,600400000,600000000,Malay,Mun
600414000,600400000,600000000,Nabas,Mun
600415000,600400000,600000000,New Washington,Mun
600416000,600400000,600000000,Numancia,Mun
600417000,600400000,600000000,Tangalan,Mun
500501000,500500000,500000000,Bacacay,Mun
500502000,500500000,500000000,Camalig,Mun
500506000,500500000,500000000,City of Legazpi,City
500508000,500500000,500000000,City of Ligao,City
500517000,500500000,500000000,City of Tabaco,City
500503000,500500000,500000000,Daraga,Mun
500504000,500500000,500000000,Guinobatan,Mun
500505000,500500000,500000000,Jovellar,Mun
500507000,500500000,500000000,Libon,Mun
500509000,500500000,500000000,Malilipot,Mun
500510000,500500000,500000000,Malinao,Mun
500511000,500500000,500000000,Manito,Mun
500512000,500500000,500000000,Oas,Mun
500513000,500500000,500000000,Pio Duran,Mun
500514000,500500000,500000000,Polangui,Mun
500515000,500500000,500000000,Rapu-Rapu,Mun
500516000,500500000,500000000,Santo Domingo,Mun
500518000,500500000,500000000,Tiwi,Mun
600601000,600600000,600000000,Anini-Y,Mun
600602000,600600000,600000000,Barbaza,Mun
600603000,600600000,600000000,Belison,Mun
600604000,600600000,600000000,Bugasong,Mun
600605000,600600000,600000000,Caluya,Mun
600606000,600600000,600000000,Culasi,Mun
600608000,600600000,600000000,Hamtic,Mun
600609000,600600000,600000000,Laua-An,Mun
600610000,600600000,600000000,Libertad,Mun
600611000,600600000,600000000,Pandan,Mun
600612000,600600000,600000000,Patnongon,Mun
600613000,600600000,600000000,San Jose,Mun
600614000,600600000,600000000,San Remigio,Mun
600615000,600600000,600000000,Sebaste,Mun
600616000,600600000,600000000,Sibalom,Mun
600617000,600600000,600000000,Tibiao,Mun
600607000,600600000,600000000,Tobias Fornier,Mun
600618000,600600000,600000000,Valderrama,Mun
1408102000,1408100000,1400000000,Conner,Mun
1408103000,1408100000,1400000000,Flora,Mun
1408105000,1408100000,1400000000,Luna,Mun
1408106000,1408100000,1400000000,Pudtol,Mun
1408107000,1408100000,1400000000,Santa Marcela,Mun
307702000,307700000,300000000,Casiguran,Mun
307703000,307700000,300000000,Dilasag,Mun
307704000,307700000,300000000,Dinalungan,Mun
307706000,307700000,300000000,Dipaculao,Mun
307707000,307700000,300000000,Maria Aurora,Mun
307708000,307700000,300000000,San Luis,Mun
1900709000,1900700000,1900000000,Al-Barka,Mun
1900710000,1900700000,1900000000,Hadji Mohammad Ajul,Mun
1900704000,1900700000,1900000000,Maluso,Mun
1900705000,1900700000,1900000000,Sumisip,Mun
1900706000,1900700000,1900000000,Tipo-Tipo,Mun
1900707000,1900700000,1900000000,Tuburan,Mun
300801000,300800000,300000000,Abucay,Mun
300802000,300800000,300000000,Bagac,Mun
300803000,300800000,300000000,City of Balanga,City
300804000,300800000,300000000,Dinalupihan,Mun
300805000,300800000,300000000,Hermosa,Mun
300806000,300800000,300000000,Limay,Mun
300807000,300800000,300000000,Mariveles,Mun
300808000,300800000,300000000,Morong,Mun
300809000,300800000,300000000,Orani,Mun
300810000,300800000,300000000,Orion,Mun
300811000,300800000,300000000,Pilar,Mun
300812000,300800000,300000000,Samal,Mun
200901000,200900000,200000000,Basco,Mun
200902000,200900000,200000000,Itbayat,Mun
200903000,200900000,200000000,Ivana,Mun
200904000,200900000,200000000,Mahatao,Mun
200905000,200900000,200000000,Sabtang,Mun
200906000,200900000,200000000,Uyugan,Mun
401001000,401000000,400000000,Agoncillo,Mun
401002000,401000000,400000000,Alitagtag,Mun
401003000,401000000,400000000,Balayan,Mun
401004000,401000000,400000000,Balete,Mun
401005000,401000000,400000000,Batangas City,City
401006000,401000000,400000000,Bauan,Mun
401008000,401000000,400000000,Calatagan,Mun
401014000,401000000,400000000,City of Lipa,City
401028000,401000000,400000000,City of Sto. Tomas,City
401031000,401000000,400000000,City of Tanauan,City
401009000,401000000,400000000,Cuenca,Mun
401010000,401000000,400000000,Ibaan,Mun
401011000,401000000,400000000,Laurel,Mun
401012000,401000000,400000000,Lemery,Mun
401013000,401000000,400000000,Lian,Mun
401015000,401000000,400000000,Lobo,Mun
401016000,401000000,400000000,Mabini,Mun
401017000,401000000,400000000,Malvar,Mun
401018000,401000000,400000000,Mataasnakahoy,Mun
