adm3_psgc,adm2_psgc,adm1_psgc,adm3_en,geo_level,angara_edgardo,aquino_noynoy,arroyo_joker,bautista_martin,cantal_felix,cayetano_alanpeter,cayetano_joselito,chavez_melchor,coseteng_nikki,defensor_mike,enciso_ruben,escudero_chiz,estrella_antonio,gomez_richard,honasan_gringo,kiram_jamalul,lacson_ping,legarda_loren,lozano_oliver,magsaysay_vic,montano_cesar,oreta_tessie,orpilla_ed,osmena_john,pangilinan_kiko,paredes_zosimo,pichay_prospero,pimentel_koko,recto_ralph,roco_sonia,singson_chavit,sison_adrian,sotto_tito,trillanes_antonio_iv,villar_manny,wood_victor,zubiri_migz
1400101000,1400100000,1400000000,Bangued,Mun,6187,5512,4679,289,30,6353,232,296,3019,4053,82,9704,105,2037,7192,756,9543,11054,206,3105,3999,2234,53,2967,7365,537,5061,5830,4685,3187,7320,199,5943,6369,7440,131,3682
1400102000,1400100000,1400000000,Boliney,Mun,772,500,558,82,24,616,48,100,482,623,11,912,34,219,765,231,682,758,35,512,867,381,19,305,499,104,651,511,483,300,692,28,487,598,543,52,557
1400103000,1400100000,1400000000,Bucay,Mun,2815,2174,1878,95,24,2091,144,144,775,1992,10,3631,52,592,2742,410,3460,3920,91,1640,2342,984,24,1013,2808,173,2133,1811,2042,929,3114,42,1995,2349,2896,38,1654
1400104000,1400100000,1400000000,Bucloc,Mun,441,285,323,55,28,311,31,87,121,276,23,460,90,118,479,120,516,549,28,273,411,217,19,241,318,77,393,277,236,217,436,84,251,351,407,29,195
1400105000,1400100000,1400000000,Daguioman,Mun,401,144,363,30,9,147,38,48,68,322,64,275,32,128,207,246,268,265,70,352,419,255,35,108,210,42,350,159,277,75,441,6,311,183,201,8,265
1400106000,1400100000,1400000000,Danglas,Mun,1399,611,632,23,5,628,24,41,376,620,1,1367,10,236,839,232,1130,1667,31,521,775,433,2,342,753,34,1084,679,739,384,1084,3,768,811,951,18,704
1400107000,1400100000,1400000000,Dolores,Mun,1822,1300,1185,70,20,1190,64,87,592,892,9,2503,36,442,1819,140,2445,2865,89,855,1289,554,13,851,1747,163,1457,1290,1157,705,2024,14,1485,1569,2290,22,942
1400108000,1400100000,1400000000,La Paz,Mun,4204,1417,1001,57,26,1633,70,123,826,1041,12,3428,41,553,2087,83,2766,3588,44,821,1178,648,17,900,1963,169,1439,1516,1177,896,2587,10,1675,1614,2274,38,866
1400109000,1400100000,1400000000,Lacub,Mun,571,322,404,80,33,285,102,127,154,421,52,467,54,137,381,229,461,704,50,448,510,289,22,223,375,113,493,416,353,120,586,43,329,200,318,24,252
1400110000,1400100000,1400000000,Lagangilang,Mun,2207,1578,1416,87,15,1637,93,117,757,1521,13,3083,47,544,2598,304,2863,3456,90,1146,1911,861,17,1017,2062,123,1618,1571,1522,916,2385,30,1672,1941,2538,80,1086
1400111000,1400100000,1400000000,Lagayan,Mun,443,233,315,6,1,252,8,13,135,320,0,649,5,61,377,114,470,574,12,253,365,219,0,124,249,14,324,208,338,126,416,1,424,387,391,9,236
1400112000,1400100000,1400000000,Langiden,Mun,560,397,384,16,4,500,25,20,213,420,1,878,16,155,636,116,789,972,20,338,495,248,6,311,509,29,567,459,445,269,692,8,536,537,651,13,380
1400113000,1400100000,1400000000,Licuan-Baay,Mun,958,562,717,52,10,544,34,50,261,729,6,1028,31,190,945,342,948,1058,49,725,964,508,13,341,610,81,845,550,649,246,743,18,761,798,667,36,591
1400114000,1400100000,1400000000,Luba,Mun,1126,657,763,80,27,575,58,106,238,743,18,1178,45,222,780,248,1008,1393,57,645,908,489,21,472,869,126,769,723,667,417,1958,25,556,548,1028,28,540
1400115000,1400100000,1400000000,Malibcong,Mun,691,420,476,76,17,514,59,130,196,434,24,949,42,178,827,193,681,1040,63,376,610,366,13,340,591,101,447,541,376,227,562,15,369,643,532,66,277
1400116000,1400100000,1400000000,Manabo,Mun,1992,1135,1494,127,33,1331,87,166,537,1430,25,2260,59,464,1708,441,2226,2611,87,1225,1751,907,47,843,1634,200,1543,1391,1329,629,1394,27,1432,1204,1508,37,1043
1400117000,1400100000,1400000000,Pe?rrubia,Mun,1233,749,673,46,12,1049,31,70,422,720,7,1710,18,412,1209,92,1567,1801,45,520,845,398,10,528,1207,103,944,866,749,578,1131,24,1109,1033,1203,53,652
1400118000,1400100000,1400000000,Pidigan,Mun,1523,968,1021,58,11,1188,57,72,533,1090,3,2174,21,429,1457,189,1905,2401,42,833,1326,584,7,632,1581,121,1411,1148,1179,609,2630,35,1483,1411,1820,20,939
1400119000,1400100000,1400000000,Pilar,Mun,1619,780,1181,47,11,1133,52,63,423,1106,9,1776,33,239,1340,416,1744,2179,54,964,1208,736,7,515,1383,67,1466,830,1269,442,2999,13,1132,1123,1679,44,977
1400120000,1400100000,1400000000,Sallapadan,Mun,1193,650,752,91,21,720,99,142,509,922,23,1339,45,274,1399,310,1372,1501,61,815,299,533,27,565,1068,94,870,850,830,364,1105,26,874,972,1017,29,645
1400121000,1400100000,1400000000,San Isidro,Mun,694,310,483,31,5,355,33,77,142,454,7,745,25,128,496,155,622,819,27,397,682,258,7,235,616,57,673,387,529,213,1296,19,499,398,645,11,411
1400122000,1400100000,1400000000,San Juan,Mun,1802,1306,1171,151,18,1233,74,87,551,1234,10,2603,30,395,1783,158,2385,2558,64,619,1183,498,26,676,1736,133,1173,1069,1221,679,1464,20,1324,1617,1953,62,1010
1400123000,1400100000,1400000000,San Quintin,Mun,741,672,524,18,8,802,35,49,357,499,2,1286,29,286,1064,68,1260,1574,15,327,621,200,27,398,956,59,782,643,556,388,1555,7,505,922,1143,29,447
1400124000,1400100000,1400000000,Tayum,Mun,2148,1613,1392,70,20,1740,57,93,789,1349,21,3312,32,642,2220,213,2993,3547,50,960,1480,847,12,946,2121,105,1821,1702,1590,1005,2698,30,2151,1837,2451,50,1217
1400126000,1400100000,1400000000,Tubo,Mun,1193,635,864,88,27,614,59,107,309,927,16,1195,67,205,865,506,1145,1226,53,906,1009,659,23,558,726,117,1072,938,682,348,1294,16,624,666,727,32,644
1400127000,1400100000,1400000000,Villaviciosa,Mun,1039,485,660,55,13,470,45,71,221,696,9,981,28,207,768,236,865,1215,63,644,937,530,15,330,758,72,953,540,865,248,1875,8,810,488,907,30,564
1600201000,1600200000,1600000000,Buenavista,Mun,8392,7696,6773,490,132,5183,415,934,1922,7758,141,9768,223,977,6822,1666,7689,10562,386,8011,7912,3025,112,4638,9889,553,9866,8416,6663,2983,2520,181,4575,5312,8009,299,9376
1600204000,1600200000,1600000000,Carmen,Mun,3902,1805,3487,87,41,1094,94,330,561,3441,19,2415,41,383,1601,1437,1635,2319,54,3888,3893,2191,10,1307,2369,83,4805,2150,2968,572,1951,12,2017,1083,2672,61,3928
1630400000,1630400000,1600000000,City of Butuan,City,38606,42999,35718,2378,510,31571,2211,3823,11104,34651,518,52969,865,5376,32288,6459,41450,50070,1112,30656,28698,12523,279,22881,50385,2588,47210,38556,37649,18549,12123,1013,18572,29623,42041,870,42596
1600205000,1600200000,1600000000,Jabonga,Mun,2869,2093,2314,109,29,1403,108,277,958,4187,90,3436,68,373,2504,835,2115,4020,92,4758,5085,1386,24,1302,2839,107,3714,3212,2336,863,2641,35,1604,1345,2408,71,4645
1600206000,1600200000,1600000000,Kitcharao,Mun,2536,2134,1922,102,34,1650,153,310,521,3324,32,3426,82,429,1959,412,2109,3195,77,3041,3460,947,14,1281,2771,140,3426,2471,2001,895,1663,26,1220,1267,2113,40,3369
1600207000,1600200000,1600000000,Las Nieves,Mun,2627,1877,2194,200,39,1190,124,410,361,3358,104,2675,108,355,1799,734,1800,3137,70,3729,3890,1169,18,1566,2480,252,3593,2910,1773,746,1927,84,1092,1244,1834,63,3461
1600208000,1600200000,1600000000,Magallanes,Mun,3747,4400,3063,146,51,3088,285,524,1179,3513,66,5438,103,591,3488,675,4124,5477,139,3222,3498,1000,27,2487,4766,144,5537,4522,2884,1668,1218,40,1647,3092,3957,136,4468
1600209000,1600200000,1600000000,Nasipit,Mun,7398,7270,6152,457,74,5552,404,660,2184,5857,60,8793,248,981,6014,1521,6625,8653,150,7712,5851,2648,52,4491,8528,584,7039,6940,5139,3069,1799,178,2484,5157,7501,192,6962
1600212000,1600200000,1600000000,Remedios T. Romualdez,Mun,2627,2364,1994,137,55,1532,153,381,564,2123,45,2752,68,461,1923,372,2109,2624,133,2906,2110,1215,21,1411,2521,139,3389,2164,1448,769,718,27,1011,1427,2536,29,2516
1600210000,1600200000,1600000000,Santiago,Mun,2395,1750,2096,157,31,1131,58,191,779,2044,21,2158,57,470,1444,1101,1792,2048,69,1920,2651,1297,9,1117,2359,181,3308,1722,1962,866,961,16,1397,1307,1854,143,2396
