adm3_psgc,adm2_psgc,adm1_psgc,adm3_en,geo_level,revilla_bong,estrada_jinggoy,defensorsantiago_miriam,drilon_frank,enrile_juanponce_sr,cayetano_pia,marcos_ferdinand_jr,recto_ralph,sotto_tito,osmena_serge,lapid_lito,guingona_teofisto_iii,hontiveros_risa,biazon_rozzano_rufino,devenecia_jose_iii,remulla_gilbert_cesar,lim_danilo,roco_sonia,querubin_ariel,pimentel_gwendolyn,acosta_nereus_jr,lacson_alex,tamano_adel,osmena_emiliomario,maza_liza,ocampo_saturnino,tatad_francisco,lozada_jose_apolinario_jr,mitra_ramon,langit_rey,bello_silvestre_iii,lao_yasmin,papin_imelda,ople_susan,bautista_martin,plaza_rodolfo,bautista_jv,guico_ramon_jr,lambino_raul,villanueva_hector,ocampo_ramoncito,inocencio_ma_katherine,palparan_jovito_jr,tinsay_alexander,alonto_zafrullah,tamayo_reginald,espinosa_nanette,maambong_regalado,david_rizalito,albani_shariff,virgines_israel,paredes_zosimo,sison_adrian,imbong_jo_aurea,princesa_reynaldo,nikabulin_adz,caunan_henry,valdehuesa_manuel_jr,tarrazona_hector,rinoza_plazo_maria_gracia,lood_alma
1400101000,1400100000,1400000000,Bangued,Mun,11611,11903,9183,6624,8938,6449,13302,5315,8123,4266,5752,3505,2963,2764,4875,3114,3861,1821,4927,2621,1587,2107,2024,1379,1193,1305,1727,1019,929,555,1286,283,790,704,476,171,502,420,359,415,350,187,314,230,173,277,216,198,242,196,122,298,205,174,89,119,116,94,74,51,72
1400102000,1400100000,1400000000,Boliney,Mun,1160,1312,766,541,860,732,1204,678,622,429,778,356,168,380,517,207,313,217,394,422,231,440,91,253,103,159,159,157,149,133,123,48,200,104,125,41,163,86,67,204,120,65,57,83,112,68,124,39,84,68,65,110,68,78,52,55,47,23,22,15,28
1400103000,1400100000,1400000000,Bucay,Mun,4833,5357,3319,2265,4108,2295,5331,2100,2269,1466,2446,1404,853,1180,1509,977,1260,671,1657,974,501,894,392,589,355,383,467,433,314,288,394,108,355,203,214,87,205,144,129,230,162,89,112,120,115,102,102,82,132,74,68,112,121,75,53,65,53,32,32,24,26
1400104000,1400100000,1400000000,Bucloc,Mun,682,785,578,303,542,355,759,326,398,288,406,214,93,193,350,145,354,132,339,238,92,221,67,132,134,112,127,119,99,101,70,33,96,65,51,23,69,72,45,91,83,35,61,32,34,38,42,29,26,24,27,38,27,22,16,22,19,13,9,7,10
1400105000,1400100000,1400000000,Daguioman,Mun,370,399,307,174,287,221,433,187,236,138,238,113,79,118,184,86,118,80,175,114,66,111,39,72,69,77,57,52,54,79,67,15,49,40,38,17,36,32,31,50,42,20,26,15,15,27,21,19,18,19,31,34,13,24,7,16,21,12,8,6,2
1400106000,1400100000,1400000000,Danglas,Mun,1237,1221,980,651,928,672,1707,440,892,325,604,246,197,353,608,249,266,124,381,320,449,144,203,92,80,117,231,107,50,37,78,23,52,53,27,11,43,122,22,34,34,12,41,12,12,30,19,25,23,20,9,19,13,11,6,6,6,5,7,2,4
1400108000,1400100000,1400000000,La Paz,Mun,4358,4356,3091,1839,2984,2091,5112,1675,2659,1202,2161,890,654,706,1742,807,940,501,1289,826,497,535,395,409,326,389,773,354,253,218,201,97,322,207,134,60,192,119,64,157,114,49,116,67,82,112,105,104,111,75,54,91,72,48,27,25,56,43,31,17,21
1400109000,1400100000,1400000000,Lacub,Mun,586,634,363,256,338,271,444,232,268,212,267,149,73,141,201,64,147,93,142,161,89,189,45,99,342,293,100,96,70,68,75,18,60,39,44,15,58,40,39,81,78,30,50,22,24,25,59,16,24,26,22,32,30,25,22,18,12,16,11,7,7
1400110000,1400100000,1400000000,Lagangilang,Mun,3601,3537,2650,1829,2578,1843,4371,1530,1803,1219,1958,920,649,730,1305,736,1007,489,1223,724,326,624,319,436,246,357,381,293,269,279,440,76,326,164,138,46,152,242,94,177,116,72,113,64,76,67,79,69,64,54,37,98,59,82,34,38,27,35,19,12,21
1400111000,1400100000,1400000000,Lagayan,Mun,1660,1277,1140,441,1222,510,2301,385,746,222,992,167,188,158,390,156,267,64,347,122,200,146,68,70,110,108,63,62,45,104,284,13,66,21,13,4,16,143,148,20,19,3,19,7,5,21,26,27,18,5,4,18,8,5,10,3,3,0,3,1,3
