adm3_psgc,adm2_psgc,adm1_psgc,adm3_en,geo_level,alcantara_samson,angara_sonny,aquino_bam,belgica_greco,binay_nancy,casino_teddy,cayetano_alanpeter,cojuangco_tingting,david_lito,delosreyes_jc,ejercito_jv,enrile_juanponce_jr,escudero_chiz,falcone_bal,gordon_dick,hagedorn_ed,honasan_gringo,hontiveros_risa,legarda_loren,llasos_marwil,maceda_manong_ernie,madrigal_jamby,magsaysay_mitos,magsaysay_ramon_jr,montano_mon,penson_ricardo,pimentel_koko,poe_grace,seneres_christian,trillanes_antonio_iv,villanueva_eddie,villar_cynthia,zubiri_migz
1400101000,1400100000,1400000000,Bangued,Mun,2915,7509,5533,559,9200,1545,9464,1258,444,348,8150,7201,9158,301,5168,2608,8340,4394,10650,216,2391,3299,2269,4805,455,474,6680,10009,263,7520,2171,6236,4611
1400102000,1400100000,1400000000,Boliney,Mun,67,393,203,74,457,84,397,88,70,38,322,275,357,36,203,147,388,133,333,20,116,176,153,217,86,45,348,393,18,199,344,223,247
1400103000,1400100000,1400000000,Bucay,Mun,461,2549,1567,311,4088,485,2845,406,192,145,2627,2846,2510,162,1416,616,2649,1014,3202,83,788,899,710,1258,164,143,1884,3369,91,2345,782,2185,1396
1400105000,1400100000,1400000000,Daguioman,Mun,78,417,255,44,497,112,378,169,71,46,301,333,370,41,245,93,410,159,453,14,121,196,146,271,57,47,295,332,27,231,141,316,288
1400106000,1400100000,1400000000,Danglas,Mun,255,1175,933,38,1399,87,1087,94,27,25,1201,599,1075,14,782,174,587,292,1226,12,181,269,177,391,32,27,920,1362,23,502,198,982,750
1400107000,1400100000,1400000000,Dolores,Mun,220,1558,857,92,1930,218,1653,223,88,41,1795,1714,1453,48,1094,431,1848,730,1833,26,431,485,429,819,93,81,1083,1791,32,1306,447,1417,926
1400108000,1400100000,1400000000,La Paz,Mun,617,4631,1227,143,4698,289,2108,257,108,68,1993,1738,2065,58,1086,407,1728,790,2475,33,422,814,435,1171,49,86,1319,2559,45,1485,433,1844,918
1400109000,1400100000,1400000000,Lacub,Mun,59,298,240,24,547,245,356,77,29,35,265,275,355,23,152,77,300,152,439,17,84,150,107,199,42,23,309,374,17,269,103,259,184
1400110000,1400100000,1400000000,Lagangilang,Mun,201,1220,701,130,1640,221,1348,175,58,56,1086,1115,1170,51,692,364,1338,558,1536,35,283,454,359,693,78,74,871,1687,39,957,466,1153,618
1400111000,1400100000,1400000000,Lagayan,Mun,95,460,311,31,680,67,496,79,23,19,514,435,480,19,311,123,500,195,540,14,115,127,120,223,27,24,357,560,8,370,106,397,204
