adm3_psgc,adm2_psgc,adm1_psgc,adm3_en,geo_level,abejo_vangie,afuang_abner,aguilar_freddie,albani_shariff,alejano_gary,alfajora_richard,alunan_raffy,angara_edgardo,aquino_bam,arcega_gerald,arellano_ernesto,arias_marcelino,austria_bernard,baldevarona_balde,binay_nancy,revilla_bong,caceres_jesus,casino_toti,cayetano_pia,chavez_melchor,chong_glenn,colmenares_neri,deguzman_leody,delarosa_bato,diokno_chel,ejercito_jv,enrile_juanponce_sr,escudero_agnes,estrada_jinggoy,francisco_elmer,gaddi_charlie,gadon_larry,generoso_gen_pederalismo,go_bong,guigayuma_junbert,gutoc_samira,hilbay_pilo,jangao_bfg_abraham,javellana_rj,lapid_lito,macalintal_macaromy,mallillin_emily,mangondato_faisal,mangudadatu_dong,manicad_jiggy,marcos_imee,matula_sonny,meniano_luther,montano_allan,nalliw_joan_sheelah,ong_willie,osmena_serge,padilla_dado,pimentel_koko,poe_grace,roleda_dan_kaibigan,roxas_mar,sahidulla_ladyann,tanada_lorenzo_erin_tapat,tolentino_francis,valdes_butch,villar_cynthia
1400101000,1400100000,1400000000,Bangued,Mun,318,221,1408,224,1071,191,727,8205,4375,191,365,172,187,134,10567,12991,129,222,8865,250,2291,1396,266,11426,1628,9232,3872,597,8317,151,135,2107,179,12037,88,862,562,213,113,10093,832,145,1135,3837,4089,19006,108,58,380,125,2967,3301,524,6579,12176,145,3309,115,779,7435,169,14498
1400102000,1400100000,1400000000,Boliney,Mun,4,4,29,2,10,3,10,76,37,2,10,6,5,3,97,124,2,3,90,7,30,14,5,145,15,86,30,19,90,3,3,38,5,120,3,11,5,2,2,110,8,3,21,52,42,177,3,0,5,2,51,42,10,65,104,3,31,1,8,82,1,162
1400103000,1400100000,1400000000,Bucay,Mun,114,70,327,65,230,83,185,4226,1175,83,103,56,46,66,5512,3865,25,57,2228,71,391,347,96,5390,372,4365,1130,158,2772,50,40,401,53,5920,33,216,132,89,33,3377,193,47,438,2961,581,7500,25,24,69,37,638,749,119,1710,3642,40,922,39,212,4115,39,4338
1400104000,1400100000,1400000000,Bucloc,Mun,20,21,178,17,75,26,66,535,227,25,44,16,20,20,727,705,15,28,623,33,160,99,27,784,80,537,239,56,550,25,30,169,28,851,5,45,26,37,12,648,65,18,142,345,249,1128,13,11,22,33,220,210,62,505,669,23,171,15,39,557,13,955
1400105000,1400100000,1400000000,Daguioman,Mun,6,12,111,9,29,8,35,381,129,13,30,13,15,13,461,462,8,20,422,15,67,49,23,566,47,344,154,28,304,22,11,67,9,603,6,22,13,16,12,386,27,16,80,253,155,778,7,10,20,29,115,137,51,300,479,8,154,9,35,389,7,698
1400106000,1400100000,1400000000,Danglas,Mun,3,4,31,1,39,4,32,873,157,5,7,0,29,4,1143,1023,2,4,386,1,133,44,7,1504,62,961,181,16,470,1,7,136,4,1603,2,34,23,2,4,433,25,1,61,688,257,2555,3,1,9,16,157,141,9,372,985,2,279,2,207,1147,5,1184
1400107000,1400100000,1400000000,Dolores,Mun,75,54,276,51,171,49,131,2311,924,54,98,88,51,38,2768,2807,32,50,2037,71,350,337,90,3032,302,2264,931,128,1941,40,36,404,29,3990,29,131,112,49,34,2532,145,44,376,1525,608,4634,34,23,92,27,550,783,116,2200,3041,48,920,40,399,2383,54,3817
1400108000,1400100000,1400000000,La Paz,Mun,47,41,133,20,130,37,74,5164,659,19,32,14,14,19,5875,2739,6,29,1315,23,364,168,32,6456,206,4786,583,65,1621,13,12,265,30,6863,19,73,42,26,12,1589,64,14,389,4756,706,7751,16,4,37,14,529,399,39,1120,2571,19,467,5,98,4977,28,3334
1400109000,1400100000,1400000000,Lacub,Mun,28,23,263,11,54,22,32,568,247,19,40,17,24,16,878,834,31,29,557,29,66,418,26,1135,91,671,143,83,438,21,11,67,22,1099,11,64,24,15,12,471,37,11,129,718,245,1049,8,11,63,11,97,168,58,684,615,12,219,19,37,821,32,844
1400110000,1400100000,1400000000,Lagangilang,Mun,112,60,450,77,220,61,156,2561,1186,67,122,70,41,43,3234,3154,35,52,2129,75,427,345,63,2786,344,2406,1069,134,2200,37,31,355,45,3173,37,158,105,81,36,2740,157,47,295,1126,586,5484,32,18,86,26,509,820,155,1550,3449,42,995,26,266,2065,44,4086
1400111000,1400100000,1400000000,Lagayan,Mun,31,20,70,14,48,13,37,669,173,12,38,20,13,15,799,692,12,11,412,15,129,62,25,1165,75,612,176,39,411,14,13,87,10,1229,5,30,24,8,9,486,38,9,141,572,157,1449,14,8,25,6,118,120,39,413,802,10,300,19,174,741,21,1056
1400112000,1400100000,1400000000,Langiden,Mun,9,9,79,6,32,7,24,1118,247,13,14,5,7,2,741,960,0,4,389,5,98,40,22,1239,68,1241,216,27,586,9,8,116,3,1277,3,27,16,4,3,605,35,6,91,832,296,1891,4,4,12,9,187,136,17,318,724,8,165,3,27,1044,16,1431
1400113000,1400100000,1400000000,Licuan-Baay,Mun,100,58,286,35,73,29,98,941,304,34,46,24,38,17,1255,1164,31,25,850,40,254,120,37,1545,119,992,292,94,843,23,18,212,32,1662,25,46,31,28,20,941,55,27,212,769,255,2062,14,11,49,41,237,279,87,732,1009,20,270,16,66,1090,17,1377
1400114000,1400100000,1400000000,Luba,Mun,55,64,301,36,103,39,110,1044,534,20,55,97,25,35,1366,1402,17,44,1185,34,341,174,31,1772,184,997,428,98,1008,31,22,245,30,1846,14,100,53,28,13,1319,106,18,170,591,305,2808,13,6,68,31,475,466,100,968,1669,29,420,13,85,1178,28,2053
1400115000,1400100000,1400000000,Malibcong,Mun,56,27,362,27,78,33,65,720,388,40,55,34,32,18,905,824,21,28,669,43,122,488,38,898,155,603,249,96,631,43,19,89,55,907,15,81,35,31,12,651,71,14,148,379,200,1365,20,6,54,71,121,247,130,482,826,33,363,19,152,628,22,943
1400116000,1400100000,1400000000,Manabo,Mun,99,98,591,92,248,88,205,2655,1083,73,142,112,102,63,3349,3321,51,88,2406,104,539,381,99,3596,353,2575,980,200,2467,78,77,475,61,3673,55,180,142,103,53,2868,192,69,365,1560,759,4791,61,35,143,62,695,889,209,1897,3473,86,1182,68,237,2650,115,4368
1400117000,1400100000,1400000000,Pe?rrubia,Mun,48,40,179,22,128,27,91,1556,509,29,48,15,19,21,1763,2039,28,28,1173,44,223,141,28,2021,148,1484,497,88,1433,28,15,233,22,2093,14,73,61,22,18,1429,98,14,185,791,602,3076,16,3,28,25,340,523,67,827,1770,22,387,5,110,1348,28,2158
